epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9005,1.13547,3.83966,1.21022,0.00917,0.44773,0.05233,0.04022,0.84221,3.59129,1.05604,6.363e-05,6.363e-05,6.363e-05
2,17.6906,0.9851,3.51659,1.08449,0.0114,0.524,0.2421,0.19306,0.77818,3.48119,1.01496,0.000135,0.000135,0.000135
3,24.1926,0.88769,3.09289,1.01103,0.01594,0.59639,0.30591,0.2421,0.76416,3.37113,0.9805,0.00020493,0.00020493,0.00020493
4,30.6026,0.86631,2.70794,1.01067,0.02432,0.70357,0.3622,0.28362,0.80264,3.30892,0.95859,0.000273421,0.000273421,0.000273421
5,36.8716,0.8951,2.14612,1.03687,0.02812,0.7923,0.37717,0.30288,0.74705,3.21296,0.94637,0.000340471,0.000340471,0.000340471
6,43.1524,0.83202,1.64373,1.01438,0.02033,0.80702,0.39509,0.31342,0.76678,3.20191,0.95757,0.000406082,0.000406082,0.000406082
7,49.4657,0.7881,1.35591,0.9917,1,0.13761,0.44446,0.38128,0.68376,3.05495,0.94656,0.000470253,0.000470253,0.000470253
8,55.6397,0.70471,1.13561,0.93718,0.99236,0.28735,0.49514,0.407,0.69324,2.94882,0.95233,0.000532984,0.000532984,0.000532984
9,61.8773,0.71802,1.05696,0.93896,0.97796,0.36281,0.72966,0.59631,0.71064,2.7387,0.98325,0.000594275,0.000594275,0.000594275
10,68.0787,0.72697,0.98607,0.94043,0.99226,0.22462,0.80848,0.67664,0.69005,2.50747,0.97504,0.000654126,0.000654126,0.000654126
11,74.3074,0.67383,0.9268,0.91723,0.95341,0.22931,0.89415,0.68108,0.75406,2.36847,0.99294,0.000712538,0.000712538,0.000712538
12,80.6295,0.73503,0.96104,0.94114,0.9888,0.58045,0.95121,0.77976,0.69553,1.97371,0.97106,0.000769509,0.000769509,0.000769509
13,86.812,0.69892,0.92686,0.91566,0.97057,0.58304,0.95086,0.76164,0.70515,1.82526,0.98616,0.000801011,0.000801011,0.000801011
14,92.9181,0.64847,0.88703,0.91705,0.97056,0.8296,0.98066,0.80336,0.65891,1.28191,0.96944,0.000792012,0.000792012,0.000792012
15,99.0135,0.64005,0.8965,0.91699,0.95884,0.91318,0.98098,0.81234,0.60749,1.01004,0.95435,0.000783013,0.000783013,0.000783013
16,105.183,0.60058,0.76952,0.89451,0.91566,0.87261,0.97602,0.81904,0.63286,0.99681,0.95017,0.000774013,0.000774013,0.000774013
17,111.601,0.54761,0.77433,0.87199,0.93691,0.92418,0.97974,0.85029,0.56574,0.78555,0.93025,0.000765014,0.000765014,0.000765014
18,117.584,0.56412,0.71432,0.87676,0.94107,0.94801,0.97895,0.81711,0.60911,0.65062,0.94057,0.000756015,0.000756015,0.000756015
19,123.911,0.5384,0.70284,0.87616,0.95316,0.96071,0.98084,0.82416,0.57099,0.61848,0.93026,0.000747016,0.000747016,0.000747016
20,130.029,0.57996,0.73216,0.88084,0.95448,0.95559,0.97973,0.8025,0.57157,0.68312,0.95131,0.000738017,0.000738017,0.000738017
21,136.362,0.53665,0.70914,0.85549,0.95275,0.95716,0.97633,0.77334,0.71051,0.64296,0.9886,0.000729018,0.000729018,0.000729018
22,142.481,0.59595,0.70659,0.89786,0.95779,0.96754,0.98157,0.83638,0.56443,0.5506,0.92576,0.000720019,0.000720019,0.000720019
23,148.561,0.55644,0.71689,0.8805,0.97118,0.97202,0.98252,0.83245,0.55235,0.53296,0.91377,0.00071102,0.00071102,0.00071102
24,154.562,0.52297,0.69537,0.87943,0.97401,0.97443,0.98239,0.82593,0.58961,0.53044,0.92283,0.000702021,0.000702021,0.000702021
25,160.676,0.48619,0.63932,0.86198,0.96885,0.9703,0.98304,0.8541,0.51545,0.47525,0.90031,0.000693022,0.000693022,0.000693022
26,166.596,0.50594,0.65189,0.85698,0.9712,0.96638,0.98133,0.83553,0.53534,0.47674,0.91232,0.000684022,0.000684022,0.000684022
27,172.673,0.52368,0.65083,0.85992,0.97282,0.97268,0.98304,0.84865,0.50835,0.45012,0.91099,0.000675023,0.000675023,0.000675023
28,178.571,0.50639,0.62253,0.86683,0.97882,0.97208,0.98333,0.83915,0.54093,0.47538,0.9061,0.000666024,0.000666024,0.000666024
29,184.884,0.48526,0.6082,0.86061,0.98039,0.97726,0.9836,0.85916,0.47849,0.45173,0.8935,0.000657025,0.000657025,0.000657025
30,191.184,0.45522,0.60827,0.85961,0.97478,0.97808,0.98502,0.84961,0.52584,0.46428,0.91838,0.000648026,0.000648026,0.000648026
31,197.378,0.45454,0.59851,0.85965,0.97675,0.97591,0.98585,0.8626,0.48789,0.47091,0.90682,0.000639027,0.000639027,0.000639027
32,203.475,0.48177,0.60249,0.85684,0.97172,0.97505,0.98562,0.84149,0.53577,0.49394,0.93072,0.000630028,0.000630028,0.000630028
33,209.583,0.46836,0.61531,0.85787,0.97715,0.97451,0.9871,0.85557,0.52857,0.46672,0.91123,0.000621029,0.000621029,0.000621029
34,215.84,0.4448,0.58282,0.85619,0.97841,0.97828,0.98655,0.86421,0.48803,0.44564,0.9044,0.00061203,0.00061203,0.00061203
35,222.128,0.43937,0.55745,0.85049,0.97396,0.97946,0.98591,0.86818,0.47978,0.40021,0.88852,0.000603031,0.000603031,0.000603031
36,228.794,0.43051,0.54523,0.84541,0.98119,0.97417,0.98492,0.87085,0.46389,0.42473,0.88478,0.000594031,0.000594031,0.000594031
37,235.101,0.45801,0.55857,0.86001,0.97142,0.96971,0.98386,0.86228,0.48184,0.43551,0.89486,0.000585032,0.000585032,0.000585032
38,241.456,0.46365,0.56648,0.86381,0.96571,0.97155,0.98324,0.86989,0.46201,0.42555,0.8887,0.000576033,0.000576033,0.000576033
39,248.111,0.41212,0.55129,0.84196,0.96335,0.97106,0.9844,0.86395,0.47471,0.41884,0.8877,0.000567034,0.000567034,0.000567034
40,254.867,0.41847,0.54203,0.83135,0.98016,0.96921,0.98579,0.8795,0.44917,0.40197,0.88312,0.000558035,0.000558035,0.000558035
41,261.49,0.43688,0.55186,0.86626,0.98294,0.97127,0.98648,0.85667,0.51877,0.39681,0.8926,0.000549036,0.000549036,0.000549036
42,268.126,0.44359,0.55045,0.85263,0.98577,0.97269,0.9854,0.86064,0.49433,0.38629,0.9098,0.000540037,0.000540037,0.000540037
43,274.697,0.4382,0.53626,0.86235,0.98331,0.97241,0.98522,0.87733,0.4634,0.39712,0.89391,0.000531038,0.000531038,0.000531038
44,281.466,0.41525,0.52319,0.84645,0.98505,0.97246,0.98609,0.86913,0.47939,0.39767,0.89958,0.000522039,0.000522039,0.000522039
45,288.133,0.45379,0.53671,0.83694,0.9822,0.97237,0.98631,0.87346,0.47756,0.39145,0.88365,0.00051304,0.00051304,0.00051304
46,294.696,0.4087,0.50947,0.82309,0.9831,0.96864,0.98698,0.8719,0.46363,0.38901,0.88533,0.00050404,0.00050404,0.00050404
47,301.768,0.38769,0.49478,0.83753,0.97126,0.97074,0.98743,0.87376,0.44912,0.3925,0.8815,0.000495041,0.000495041,0.000495041
48,308.228,0.4028,0.51984,0.84145,0.96476,0.97288,0.98705,0.86869,0.46296,0.38948,0.88506,0.000486042,0.000486042,0.000486042
49,314.059,0.39671,0.5239,0.84122,0.9816,0.96949,0.98666,0.86937,0.44691,0.38198,0.88154,0.000477043,0.000477043,0.000477043
50,320.019,0.36738,0.48054,0.83536,0.98123,0.9766,0.98735,0.87581,0.44526,0.35818,0.87544,0.000468044,0.000468044,0.000468044
51,325.95,0.3752,0.49362,0.83333,0.98137,0.97555,0.98768,0.87987,0.42442,0.34742,0.87588,0.000459045,0.000459045,0.000459045
52,331.882,0.37026,0.49301,0.84406,0.98369,0.97081,0.98724,0.87656,0.42966,0.35779,0.88319,0.000450046,0.000450046,0.000450046
53,337.748,0.38489,0.48004,0.82741,0.97907,0.97561,0.98703,0.88257,0.43,0.3593,0.87731,0.000441047,0.000441047,0.000441047
54,344.192,0.36946,0.47252,0.84061,0.97285,0.97705,0.98683,0.88562,0.4125,0.33882,0.8716,0.000432048,0.000432048,0.000432048
55,350.613,0.3754,0.47106,0.8331,0.97616,0.97806,0.98687,0.88901,0.40319,0.34387,0.87089,0.000423049,0.000423049,0.000423049
56,356.562,0.34852,0.45608,0.82259,0.98025,0.9776,0.987,0.88351,0.42755,0.3522,0.88284,0.000414049,0.000414049,0.000414049
57,362.541,0.38523,0.4687,0.82656,0.98118,0.97824,0.98705,0.88675,0.42174,0.3493,0.87978,0.00040505,0.00040505,0.00040505
58,368.576,0.36711,0.45529,0.83012,0.9848,0.97616,0.98628,0.87815,0.42505,0.34306,0.88455,0.000396051,0.000396051,0.000396051
