epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.17044,1.18037,3.82792,1.24111,0.01074,0.50725,0.08805,0.0666,0.85016,3.52404,1.06007,6.363e-05,6.363e-05,6.363e-05
2,14.3908,1.07049,3.54608,1.13942,0.01232,0.52631,0.28966,0.24135,0.73683,3.4835,1.00306,0.000135,0.000135,0.000135
3,20.4433,0.98246,3.08091,1.06738,0.01679,0.59277,0.34676,0.27874,0.72917,3.38437,0.96867,0.00020493,0.00020493,0.00020493
4,26.6031,0.93052,2.6901,1.0547,0.02627,0.72521,0.37652,0.30381,0.7269,3.29308,0.92541,0.000273421,0.000273421,0.000273421
5,32.7624,0.94588,2.18332,1.07171,0.02467,0.75595,0.44287,0.36229,0.72342,3.19137,0.93843,0.000340471,0.000340471,0.000340471
6,39.1321,0.87892,1.63898,1.04577,0.02023,0.80872,0.41301,0.32904,0.72483,3.13482,0.9349,0.000406082,0.000406082,0.000406082
7,45.5916,0.929,1.40141,1.06037,0.9791,0.29813,0.39877,0.32916,0.74045,3.13306,0.94628,0.000470253,0.000470253,0.000470253
8,51.741,0.7944,1.19293,0.97889,0.02434,0.87625,0.6038,0.45991,0.75277,2.9885,0.96142,0.000532984,0.000532984,0.000532984
9,58.1365,0.80867,1.10991,0.99973,0.97736,0.61745,0.79522,0.66103,0.75105,2.56612,0.96039,0.000594275,0.000594275,0.000594275
10,64.2518,0.80118,1.03219,0.97527,0.99265,0.26821,0.86147,0.65655,0.82854,2.36664,1.02026,0.000654126,0.000654126,0.000654126
11,70.5668,0.8187,1.00836,0.97266,0.98513,0.64735,0.95743,0.75653,0.75538,1.74729,0.94153,0.000712538,0.000712538,0.000712538
12,76.6717,0.75339,1.00995,0.93618,0.96791,0.76135,0.95709,0.7602,0.71428,1.49355,0.96492,0.000769509,0.000769509,0.000769509
13,82.9679,0.77652,0.95822,0.95602,0.96723,0.76729,0.94932,0.79263,0.66132,1.31835,0.95053,0.000801011,0.000801011,0.000801011
14,88.9852,0.68954,0.89154,0.92633,0.97291,0.88927,0.96768,0.77108,0.74425,1.08242,0.9774,0.000792012,0.000792012,0.000792012
15,95.0906,0.72988,0.93417,0.93448,0.97001,0.91227,0.97351,0.80008,0.66745,1.0592,0.95022,0.000783013,0.000783013,0.000783013
16,101.138,0.60837,0.79755,0.8907,0.95628,0.90981,0.97927,0.83806,0.60894,0.92485,0.9243,0.000774013,0.000774013,0.000774013
17,107.472,0.61033,0.7814,0.89134,0.95308,0.9385,0.98132,0.83623,0.59046,0.75614,0.91611,0.000765014,0.000765014,0.000765014
18,113.717,0.60057,0.79313,0.88255,0.94823,0.93547,0.97773,0.81579,0.60254,0.70561,0.92859,0.000756015,0.000756015,0.000756015
19,119.716,0.59462,0.72847,0.89511,0.95216,0.91434,0.97198,0.82582,0.59522,0.7513,0.91702,0.000747016,0.000747016,0.000747016
20,125.758,0.63485,0.75793,0.90091,0.95258,0.91973,0.97705,0.82297,0.60758,0.69963,0.92021,0.000738017,0.000738017,0.000738017
21,131.994,0.57919,0.71821,0.86856,0.97162,0.9573,0.98313,0.83167,0.55851,0.55451,0.90193,0.000729018,0.000729018,0.000729018
22,138.172,0.55701,0.70453,0.89193,0.98086,0.96687,0.98458,0.86005,0.51759,0.53418,0.89708,0.000720019,0.000720019,0.000720019
23,144.142,0.53569,0.69677,0.88208,0.97121,0.96168,0.98239,0.83597,0.57693,0.59314,0.91191,0.00071102,0.00071102,0.00071102
24,150.215,0.56701,0.72907,0.8882,0.95962,0.96405,0.969,0.83977,0.51751,0.56977,0.90838,0.000702021,0.000702021,0.000702021
25,156.306,0.52858,0.64757,0.87133,0.9673,0.97311,0.98224,0.86152,0.49732,0.45982,0.8928,0.000693022,0.000693022,0.000693022
26,162.344,0.56508,0.66771,0.88408,0.96767,0.97225,0.98422,0.85146,0.51973,0.47873,0.89727,0.000684022,0.000684022,0.000684022
27,168.29,0.55244,0.66063,0.87563,0.96914,0.96267,0.98119,0.85142,0.52055,0.50732,0.90002,0.000675023,0.000675023,0.000675023
28,174.338,0.53599,0.66294,0.86657,0.97152,0.96941,0.984,0.85249,0.51841,0.49035,0.89629,0.000666024,0.000666024,0.000666024
29,180.354,0.53529,0.64494,0.87023,0.96747,0.9693,0.98555,0.87012,0.48438,0.43744,0.88255,0.000657025,0.000657025,0.000657025
30,186.464,0.51003,0.60916,0.87096,0.96593,0.96889,0.98445,0.84413,0.58437,0.45191,0.9057,0.000648026,0.000648026,0.000648026
31,192.194,0.50216,0.61025,0.86966,0.969,0.96751,0.98513,0.8615,0.50788,0.44552,0.88764,0.000639027,0.000639027,0.000639027
32,198.214,0.50492,0.61499,0.86184,0.9728,0.96669,0.98552,0.87192,0.49036,0.45226,0.88712,0.000630028,0.000630028,0.000630028
33,204.411,0.49654,0.60808,0.86976,0.98342,0.96948,0.98652,0.86675,0.50237,0.44712,0.88637,0.000621029,0.000621029,0.000621029
34,210.509,0.49474,0.60631,0.86907,0.98474,0.97015,0.98674,0.8661,0.49506,0.43814,0.89035,0.00061203,0.00061203,0.00061203
35,216.444,0.49859,0.57853,0.87105,0.97502,0.97309,0.98614,0.87915,0.46849,0.44885,0.88279,0.000603031,0.000603031,0.000603031
36,222.573,0.47125,0.55199,0.85468,0.97523,0.97539,0.9854,0.86449,0.51085,0.43585,0.89623,0.000594031,0.000594031,0.000594031
37,228.554,0.50463,0.58884,0.87399,0.97631,0.97528,0.9857,0.88174,0.46144,0.40836,0.87827,0.000585032,0.000585032,0.000585032
38,234.483,0.49976,0.58482,0.86065,0.97239,0.97557,0.98563,0.8721,0.48903,0.4177,0.8838,0.000576033,0.000576033,0.000576033
39,240.567,0.484,0.56668,0.86102,0.97591,0.96722,0.98514,0.87796,0.47567,0.4291,0.87744,0.000567034,0.000567034,0.000567034
40,246.63,0.46431,0.55652,0.85602,0.97724,0.97211,0.9852,0.87162,0.4593,0.41243,0.8728,0.000558035,0.000558035,0.000558035
41,252.672,0.44341,0.55072,0.86398,0.98136,0.97027,0.98682,0.88349,0.44179,0.39984,0.86852,0.000549036,0.000549036,0.000549036
42,258.66,0.43769,0.53947,0.85847,0.97766,0.96755,0.98746,0.88689,0.44415,0.39688,0.86916,0.000540037,0.000540037,0.000540037
43,264.619,0.42753,0.53536,0.85179,0.98069,0.96687,0.98594,0.85538,0.52851,0.40477,0.8961,0.000531038,0.000531038,0.000531038
44,270.601,0.43395,0.53719,0.85306,0.98197,0.9679,0.98662,0.88604,0.4325,0.38003,0.86763,0.000522039,0.000522039,0.000522039
45,276.542,0.4451,0.54005,0.85292,0.98037,0.971,0.98728,0.87554,0.44421,0.36852,0.86415,0.00051304,0.00051304,0.00051304
46,282.563,0.39734,0.50848,0.83668,0.98028,0.97648,0.98796,0.88713,0.41451,0.36871,0.85714,0.00050404,0.00050404,0.00050404
47,288.495,0.41873,0.51607,0.85913,0.97974,0.97839,0.98669,0.88399,0.41476,0.36214,0.86138,0.000495041,0.000495041,0.000495041
48,294.457,0.4209,0.50916,0.84793,0.98022,0.97894,0.98503,0.88675,0.41238,0.3641,0.85939,0.000486042,0.000486042,0.000486042
49,300.422,0.41905,0.51513,0.83769,0.98,0.97748,0.98407,0.89042,0.40829,0.35966,0.85663,0.000477043,0.000477043,0.000477043
50,306.496,0.39925,0.48229,0.84537,0.98121,0.97485,0.98424,0.89057,0.43574,0.36567,0.86662,0.000468044,0.000468044,0.000468044
51,312.624,0.39251,0.4773,0.83584,0.98287,0.97634,0.98498,0.8976,0.38404,0.35066,0.8587,0.000459045,0.000459045,0.000459045
52,318.562,0.43489,0.50218,0.85805,0.9892,0.97238,0.98553,0.89585,0.39825,0.34082,0.86539,0.000450046,0.000450046,0.000450046
53,324.418,0.39892,0.48393,0.83864,0.98634,0.97467,0.98599,0.89175,0.43111,0.35952,0.87431,0.000441047,0.000441047,0.000441047
54,330.23,0.39027,0.48189,0.84881,0.98488,0.97629,0.98679,0.89848,0.42939,0.36533,0.86439,0.000432048,0.000432048,0.000432048
55,336.148,0.4144,0.49479,0.84927,0.98351,0.97563,0.98665,0.89692,0.40838,0.36,0.86393,0.000423049,0.000423049,0.000423049
56,341.946,0.40633,0.48933,0.8459,0.98298,0.96903,0.9853,0.88281,0.44262,0.36519,0.8752,0.000414049,0.000414049,0.000414049
57,347.871,0.38666,0.47692,0.8355,0.9797,0.97097,0.98554,0.8774,0.47052,0.37151,0.88034,0.00040505,0.00040505,0.00040505
58,353.688,0.3775,0.46401,0.84102,0.98248,0.97393,0.98586,0.88125,0.44063,0.34924,0.87544,0.000396051,0.000396051,0.000396051
59,359.482,0.3973,0.4703,0.84653,0.98239,0.97494,0.98627,0.88072,0.43099,0.34733,0.87654,0.000387052,0.000387052,0.000387052
60,365.477,0.39627,0.47734,0.83974,0.98683,0.97476,0.98573,0.89819,0.4027,0.34922,0.86538,0.000378053,0.000378053,0.000378053
61,371.254,0.40441,0.48303,0.8464,0.98533,0.97567,0.98475,0.88915,0.4264,0.36915,0.87342,0.000369054,0.000369054,0.000369054
62,377.279,0.38543,0.45991,0.83886,0.98543,0.97674,0.98483,0.89316,0.41127,0.36051,0.86872,0.000360055,0.000360055,0.000360055
63,383.192,0.36399,0.44138,0.82694,0.98564,0.97766,0.98612,0.89604,0.40301,0.34347,0.86291,0.000351056,0.000351056,0.000351056
64,389.191,0.35896,0.45024,0.8332,0.98471,0.97701,0.98525,0.89125,0.40032,0.34009,0.86756,0.000342057,0.000342057,0.000342057
65,394.901,0.37335,0.44697,0.83215,0.9834,0.97524,0.98516,0.89167,0.3835,0.32718,0.86776,0.000333058,0.000333058,0.000333058
66,400.779,0.35538,0.43046,0.82793,0.98094,0.97531,0.98538,0.87734,0.42494,0.33795,0.88288,0.000324058,0.000324058,0.000324058
67,406.776,0.37786,0.45371,0.84006,0.97637,0.97711,0.98588,0.88312,0.41424,0.33021,0.8769,0.000315059,0.000315059,0.000315059
68,412.82,0.36434,0.44114,0.83258,0.979,0.97261,0.98619,0.89396,0.38122,0.32474,0.86678,0.00030606,0.00030606,0.00030606
69,418.718,0.36784,0.44676,0.84274,0.98082,0.97326,0.98666,0.88157,0.4231,0.33387,0.87495,0.000297061,0.000297061,0.000297061
70,424.585,0.3516,0.43736,0.82683,0.97761,0.97548,0.98682,0.89169,0.39398,0.32181,0.86701,0.000288062,0.000288062,0.000288062
71,430.42,0.35885,0.42758,0.82681,0.97911,0.97413,0.98695,0.89586,0.37248,0.31267,0.86133,0.000279063,0.000279063,0.000279063
72,436.322,0.36016,0.44702,0.83511,0.98103,0.97132,0.9871,0.88671,0.41519,0.32551,0.87193,0.000270064,0.000270064,0.000270064
73,442.144,0.32801,0.41721,0.8238,0.98062,0.97476,0.98638,0.89474,0.3725,0.31122,0.86153,0.000261065,0.000261065,0.000261065
74,448.125,0.37102,0.4436,0.85036,0.98299,0.97459,0.98618,0.89694,0.38136,0.31306,0.86033,0.000252066,0.000252066,0.000252066
