epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6512,1.1114,3.83079,1.19588,0.01041,0.50327,0.06898,0.05181,0.86399,3.53712,1.07067,6.363e-05,6.363e-05,6.363e-05
2,17.1333,0.97539,3.50502,1.07352,0.01347,0.5585,0.29566,0.24113,0.7534,3.46429,1.00232,0.000135,0.000135,0.000135
3,23.5032,0.88102,3.09953,1.00585,0.01747,0.61815,0.31994,0.24923,0.79731,3.37783,0.98987,0.00020493,0.00020493,0.00020493
4,29.9629,0.86194,2.72729,1.00669,0.01898,0.66055,0.34217,0.28001,0.77448,3.31614,0.95226,0.000273421,0.000273421,0.000273421
5,36.6295,0.89634,2.17431,1.02277,0.0222,0.74896,0.38042,0.30123,0.78132,3.2535,0.94923,0.000340471,0.000340471,0.000340471
6,43.05,0.8536,1.65236,1.01673,0.01884,0.78677,0.40649,0.32703,0.73719,3.25338,0.95317,0.000406082,0.000406082,0.000406082
7,49.1677,0.78927,1.33985,0.99212,0.98632,0.21338,0.47172,0.39224,0.67323,3.05272,0.93726,0.000470253,0.000470253,0.000470253
8,55.3417,0.71738,1.13667,0.9333,0.9895,0.14928,0.6298,0.52938,0.66493,2.76616,0.93152,0.000532984,0.000532984,0.000532984
9,61.7091,0.70535,1.05225,0.9343,0.99327,0.31104,0.7652,0.6377,0.65641,2.46626,0.94416,0.000594275,0.000594275,0.000594275
10,67.7483,0.69581,0.95362,0.92446,0.98367,0.37568,0.8659,0.72096,0.67839,2.28389,0.97093,0.000654126,0.000654126,0.000654126
11,74.0966,0.62915,0.89567,0.89832,0.96113,0.29185,0.8498,0.62794,0.83192,2.42926,1.01123,0.000712538,0.000712538,0.000712538
12,80.1371,0.71863,0.96313,0.93197,0.95395,0.45098,0.89559,0.73129,0.69217,2.14752,0.9688,0.000769509,0.000769509,0.000769509
13,86.3077,0.74256,0.93431,0.91349,0.92067,0.59202,0.90728,0.69671,0.77734,1.86646,1.03047,0.000801011,0.000801011,0.000801011
14,92.4306,0.64215,0.8755,0.91175,0.93906,0.71316,0.92838,0.77378,0.63501,1.70024,0.9606,0.000792012,0.000792012,0.000792012
15,98.5612,0.63914,0.88476,0.91313,0.95777,0.73917,0.91098,0.74923,0.73235,1.58583,1.01723,0.000783013,0.000783013,0.000783013
16,104.776,0.57613,0.75904,0.88632,0.94869,0.86512,0.96222,0.78415,0.72271,1.12239,0.994,0.000774013,0.000774013,0.000774013
17,111.003,0.5456,0.75603,0.87077,0.95918,0.91385,0.97729,0.83643,0.57075,0.88802,0.94392,0.000765014,0.000765014,0.000765014
18,117.229,0.57435,0.72818,0.88021,0.94948,0.93856,0.97684,0.82022,0.56125,0.82398,0.93225,0.000756015,0.000756015,0.000756015
19,123.376,0.51567,0.69702,0.86916,0.95331,0.95832,0.98236,0.82318,0.56088,0.58914,0.92625,0.000747016,0.000747016,0.000747016
20,129.496,0.55744,0.71132,0.87772,0.9548,0.96487,0.9825,0.82537,0.55167,0.61773,0.9226,0.000738017,0.000738017,0.000738017
21,135.703,0.53382,0.69711,0.85412,0.95647,0.94267,0.97858,0.79861,0.65277,0.72172,0.95111,0.000729018,0.000729018,0.000729018
22,141.736,0.58155,0.69117,0.89126,0.96181,0.94266,0.97803,0.82936,0.60358,0.72554,0.92388,0.000720019,0.000720019,0.000720019
23,148.201,0.55292,0.69269,0.87594,0.95946,0.95599,0.98022,0.82488,0.56581,0.62179,0.91375,0.00071102,0.00071102,0.00071102
24,154.134,0.5207,0.69592,0.87615,0.95552,0.94691,0.98184,0.82065,0.57205,0.64952,0.93888,0.000702021,0.000702021,0.000702021
25,160.309,0.4775,0.63704,0.86071,0.96834,0.96233,0.98315,0.84946,0.52069,0.55008,0.90907,0.000693022,0.000693022,0.000693022
26,166.436,0.48105,0.63109,0.8501,0.9742,0.9687,0.98366,0.80349,0.60503,0.51402,0.95131,0.000684022,0.000684022,0.000684022
27,172.579,0.50327,0.63584,0.8564,0.98151,0.96507,0.98539,0.82096,0.56288,0.49494,0.95158,0.000675023,0.000675023,0.000675023
28,178.601,0.50842,0.62707,0.86933,0.98056,0.96736,0.98578,0.80112,0.62504,0.5091,0.9568,0.000666024,0.000666024,0.000666024
29,184.891,0.47476,0.61238,0.85953,0.97766,0.97241,0.9858,0.84121,0.52478,0.47729,0.92049,0.000657025,0.000657025,0.000657025
30,190.95,0.45323,0.60125,0.85442,0.98199,0.97304,0.98718,0.84948,0.52809,0.4358,0.93518,0.000648026,0.000648026,0.000648026
31,197.189,0.46023,0.60428,0.86033,0.98794,0.9721,0.98811,0.84175,0.55119,0.4374,0.91809,0.000639027,0.000639027,0.000639027
32,203.296,0.46127,0.6001,0.84673,0.98799,0.97107,0.98761,0.84301,0.53803,0.44916,0.92437,0.000630028,0.000630028,0.000630028
33,209.804,0.48118,0.60404,0.85984,0.97788,0.97186,0.98694,0.86768,0.48419,0.4142,0.89656,0.000621029,0.000621029,0.000621029
34,216.073,0.43216,0.57915,0.85631,0.96985,0.97634,0.98674,0.86278,0.48801,0.43212,0.90059,0.00061203,0.00061203,0.00061203
35,222.487,0.42741,0.56219,0.84418,0.97128,0.97434,0.98722,0.85636,0.52356,0.45812,0.90833,0.000603031,0.000603031,0.000603031
36,229.059,0.42312,0.55494,0.84383,0.97889,0.97306,0.98802,0.8643,0.47533,0.4303,0.89375,0.000594031,0.000594031,0.000594031
37,235.771,0.45386,0.57244,0.85442,0.97491,0.97066,0.98789,0.86389,0.45941,0.40982,0.89849,0.000585032,0.000585032,0.000585032
38,241.76,0.43328,0.54823,0.85222,0.95901,0.95652,0.98672,0.85922,0.47017,0.44985,0.90346,0.000576033,0.000576033,0.000576033
39,247.983,0.40833,0.54307,0.84103,0.95984,0.95503,0.98509,0.87093,0.45333,0.43682,0.88807,0.000567034,0.000567034,0.000567034
40,254.038,0.4071,0.53602,0.83217,0.97016,0.96209,0.98491,0.85778,0.47227,0.41063,0.90745,0.000558035,0.000558035,0.000558035
41,260.112,0.43451,0.54806,0.86815,0.98188,0.96195,0.98648,0.8643,0.48922,0.42848,0.88484,0.000549036,0.000549036,0.000549036
42,266.125,0.43543,0.55831,0.85243,0.97928,0.96606,0.98646,0.8704,0.45299,0.42093,0.88801,0.000540037,0.000540037,0.000540037
43,272.225,0.41798,0.544,0.85574,0.98221,0.96766,0.98635,0.86912,0.48913,0.44117,0.89548,0.000531038,0.000531038,0.000531038
44,278.341,0.40228,0.52267,0.84649,0.98334,0.97359,0.9875,0.87291,0.46475,0.41977,0.89458,0.000522039,0.000522039,0.000522039
45,284.479,0.42554,0.54379,0.83051,0.98497,0.9719,0.98831,0.88084,0.46263,0.40075,0.88276,0.00051304,0.00051304,0.00051304
46,290.494,0.38934,0.50669,0.82087,0.98333,0.9758,0.98836,0.88616,0.44918,0.39015,0.88165,0.00050404,0.00050404,0.00050404
47,296.58,0.37884,0.48946,0.83436,0.98341,0.97838,0.98859,0.88488,0.46392,0.38032,0.88589,0.000495041,0.000495041,0.000495041
48,302.541,0.40006,0.51783,0.84258,0.98717,0.97245,0.98864,0.87541,0.47276,0.37895,0.89471,0.000486042,0.000486042,0.000486042
49,308.852,0.38438,0.50971,0.83741,0.98683,0.97743,0.98804,0.87117,0.45869,0.37149,0.89888,0.000477043,0.000477043,0.000477043
50,315.167,0.36576,0.4806,0.83445,0.98779,0.97716,0.98769,0.87853,0.49976,0.37628,0.90081,0.000468044,0.000468044,0.000468044
51,321.035,0.36444,0.4851,0.83223,0.98664,0.97294,0.98757,0.88683,0.44731,0.35388,0.88529,0.000459045,0.000459045,0.000459045
52,327.037,0.36047,0.48449,0.8407,0.98971,0.97519,0.98692,0.88531,0.43188,0.35045,0.88432,0.000450046,0.000450046,0.000450046
53,333.089,0.3664,0.47545,0.82425,0.98738,0.97783,0.98622,0.886,0.42341,0.3611,0.87902,0.000441047,0.000441047,0.000441047
54,339.109,0.35404,0.47012,0.8404,0.982,0.9811,0.98682,0.88469,0.42685,0.3567,0.88109,0.000432048,0.000432048,0.000432048
55,345.213,0.35406,0.46411,0.827,0.98167,0.98131,0.98764,0.88584,0.42255,0.35668,0.88116,0.000423049,0.000423049,0.000423049
56,351.2,0.34868,0.45565,0.8232,0.98268,0.98016,0.98751,0.87554,0.45781,0.37403,0.89905,0.000414049,0.000414049,0.000414049
57,357.037,0.3907,0.47518,0.82697,0.98691,0.97837,0.98744,0.88434,0.42995,0.36796,0.88599,0.00040505,0.00040505,0.00040505
58,363.107,0.37304,0.46168,0.83319,0.98399,0.97726,0.98723,0.87496,0.44585,0.35649,0.89507,0.000396051,0.000396051,0.000396051
59,369.163,0.34752,0.4582,0.81923,0.97833,0.98046,0.98802,0.88659,0.41094,0.33922,0.8741,0.000387052,0.000387052,0.000387052
60,375.263,0.35153,0.46929,0.8244,0.98387,0.97768,0.98784,0.89297,0.39261,0.33348,0.86718,0.000378053,0.000378053,0.000378053
61,381.343,0.35497,0.46555,0.8283,0.98544,0.97605,0.98741,0.89189,0.39672,0.33538,0.87328,0.000369054,0.000369054,0.000369054
62,387.395,0.34845,0.45223,0.83236,0.98159,0.97488,0.98705,0.89325,0.40475,0.34252,0.8733,0.000360055,0.000360055,0.000360055
63,393.466,0.32738,0.43164,0.82324,0.97769,0.9788,0.98751,0.89365,0.38745,0.33336,0.87107,0.000351056,0.000351056,0.000351056
64,399.576,0.34473,0.44301,0.82724,0.98265,0.97391,0.98758,0.89381,0.40558,0.34079,0.86678,0.000342057,0.000342057,0.000342057
65,405.978,0.34377,0.44255,0.82443,0.98522,0.97279,0.98707,0.88949,0.40336,0.33464,0.87516,0.000333058,0.000333058,0.000333058
66,412.267,0.33106,0.43975,0.81982,0.98604,0.9706,0.98651,0.87422,0.44113,0.34162,0.89246,0.000324058,0.000324058,0.000324058
67,418.529,0.35253,0.44832,0.82334,0.98581,0.97169,0.98628,0.88336,0.40144,0.3279,0.88292,0.000315059,0.000315059,0.000315059
68,424.783,0.32501,0.41842,0.81842,0.98749,0.9721,0.98619,0.88611,0.40878,0.33435,0.88088,0.00030606,0.00030606,0.00030606
69,431.043,0.34163,0.42628,0.8326,0.97969,0.97913,0.98629,0.88811,0.40465,0.32802,0.87893,0.000297061,0.000297061,0.000297061
70,437.29,0.33082,0.42931,0.82759,0.98108,0.97843,0.98669,0.89381,0.38853,0.31957,0.87035,0.000288062,0.000288062,0.000288062
71,443.587,0.34589,0.43226,0.82928,0.98253,0.97675,0.98708,0.88758,0.40762,0.323,0.87677,0.000279063,0.000279063,0.000279063
72,449.629,0.34041,0.44678,0.8242,0.98726,0.97009,0.98711,0.88622,0.42546,0.32684,0.88124,0.000270064,0.000270064,0.000270064
73,455.914,0.33347,0.42419,0.82407,0.99031,0.97092,0.98721,0.89447,0.39496,0.32623,0.86921,0.000261065,0.000261065,0.000261065
74,462.289,0.31833,0.42274,0.82968,0.98935,0.97112,0.98725,0.8922,0.40288,0.31819,0.87277,0.000252066,0.000252066,0.000252066
75,468.526,0.3226,0.43168,0.83087,0.97709,0.97968,0.98785,0.89337,0.40915,0.31765,0.8745,0.000243067,0.000243067,0.000243067
76,474.796,0.32581,0.41979,0.82446,0.97805,0.97989,0.98801,0.89489,0.40563,0.32286,0.87142,0.000234068,0.000234068,0.000234068
77,481.367,0.30649,0.40322,0.81918,0.97831,0.98009,0.98809,0.88806,0.39802,0.31108,0.87831,0.000225068,0.000225068,0.000225068
78,487.991,0.33534,0.42153,0.81979,0.97825,0.97912,0.98838,0.88684,0.39921,0.31566,0.87949,0.000216069,0.000216069,0.000216069
79,494.617,0.30397,0.40155,0.82066,0.97605,0.98182,0.98863,0.89487,0.38491,0.31124,0.87164,0.00020707,0.00020707,0.00020707
80,501.276,0.3047,0.39956,0.83194,0.98378,0.97402,0.98858,0.88968,0.39351,0.30664,0.87693,0.000198071,0.000198071,0.000198071
81,507.748,0.29806,0.38525,0.80307,0.98422,0.97512,0.98863,0.88084,0.41544,0.30939,0.88867,0.000189072,0.000189072,0.000189072
82,514.407,0.30813,0.38343,0.81288,0.9854,0.97644,0.98874,0.88892,0.40276,0.30877,0.88002,0.000180073,0.000180073,0.000180073
83,520.936,0.28698,0.39596,0.81434,0.98568,0.97753,0.98849,0.8936,0.3812,0.29841,0.87308,0.000171074,0.000171074,0.000171074
84,527.445,0.29204,0.38434,0.82426,0.98162,0.97788,0.98842,0.89449,0.38483,0.30759,0.87321,0.000162075,0.000162075,0.000162075
85,533.878,0.29743,0.39793,0.82491,0.98219,0.97514,0.98802,0.89731,0.3692,0.30697,0.86821,0.000153076,0.000153076,0.000153076
