epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.16359,1.13573,3.83978,1.21052,0.00941,0.4578,0.05171,0.03979,0.84564,3.58677,1.05693,6.363e-05,6.363e-05,6.363e-05
2,13.7207,0.9853,3.51464,1.08368,0.01274,0.54287,0.24917,0.19998,0.75268,3.47729,1.00267,0.000135,0.000135,0.000135
3,19.8772,0.8902,3.11451,1.01698,0.01721,0.61338,0.32236,0.25675,0.79088,3.38349,0.98646,0.00020493,0.00020493,0.00020493
4,26.4729,0.88213,2.73409,1.01418,0.02236,0.73226,0.35014,0.27401,0.76699,3.25947,0.93545,0.000273421,0.000273421,0.000273421
5,32.9223,0.90686,2.19633,1.03754,0.02623,0.90479,0.43919,0.33492,0.80554,3.1623,0.9339,0.000340471,0.000340471,0.000340471
6,39.5154,0.85254,1.6859,1.02507,0.01853,0.77459,0.40067,0.32292,0.69714,3.19038,0.94397,0.000406082,0.000406082,0.000406082
7,45.9506,0.79101,1.38399,0.99313,0.01805,0.78276,0.52986,0.4378,0.66141,3.07451,0.93388,0.000470253,0.000470253,0.000470253
8,52.4831,0.7106,1.14195,0.94025,0.99345,0.31499,0.67669,0.5732,0.70491,2.88438,0.96017,0.000532984,0.000532984,0.000532984
9,58.988,0.71097,1.03695,0.93523,0.99385,0.29405,0.78663,0.67241,0.68126,2.58605,0.98832,0.000594275,0.000594275,0.000594275
10,65.5404,0.73445,0.99836,0.93929,0.99151,0.32051,0.78637,0.64991,0.7437,2.49141,0.99116,0.000654126,0.000654126,0.000654126
11,72.6481,0.67108,0.93414,0.91539,0.97068,0.34327,0.85014,0.68884,0.73509,2.30324,0.97652,0.000712538,0.000712538,0.000712538
12,80.7276,0.702,0.96112,0.9308,0.9293,0.489,0.91519,0.74259,0.7597,2.06237,0.98306,0.000769509,0.000769509,0.000769509
13,87.1493,0.68578,0.92432,0.90626,0.95068,0.67081,0.94483,0.74868,0.71953,1.72191,0.99325,0.000801011,0.000801011,0.000801011
14,93.5642,0.64591,0.86527,0.91508,0.96235,0.80391,0.9712,0.79614,0.68347,1.41962,0.98712,0.000792012,0.000792012,0.000792012
15,99.957,0.6476,0.88784,0.92006,0.96295,0.88263,0.97374,0.78573,0.68578,1.16547,0.9946,0.000783013,0.000783013,0.000783013
